corp_code,corp_name,stock_code,market,fiscal_month,earliest_fy,latest_fy,distinct_fy_count
00241209,모아텍,033200,KOSDAQ,3,2000,2026,23
00876908,모트렉스,118990,KOSDAQ,12,2015,2026,12
00367400,모티브링크,463480,KOSDAQ,12,2022,2026,5
00163318,모헨즈,006920,KOSDAQ,12,1997,2026,29
01190124,미디어젠,279600,KOSDAQ,12,2014,2026,13
00526836,미래나노텍,095500,KOSDAQ,12,2005,2026,22
00299844,미래반도체,254490,KOSDAQ,12,2020,2026,7
01071944,미래생명자원,218150,KOSDAQ,12,2015,2026,12
00340096,미래에셋벤처투자,100790,KOSDAQ,12,2016,2026,11
00447760,미래컴퍼니,049950,KOSDAQ,12,2002,2026,25
01047840,미스터블루,207760,KOSDAQ,12,2013,2026,14
00366942,미코,059090,KOSDAQ,12,1999,2026,28
00965813,미투온,201490,KOSDAQ,12,2014,2026,13
01374717,미트박스,475460,KOSDAQ,12,2022,2026,5
01689035,민테크,452200,KOSDAQ,12,2022,2026,5
01046708,바디텍메드,206640,KOSDAQ,12,2012,2026,15
00259590,바른손이앤에이,035620,KOSDAQ,12,1999,2026,28
00216027,바이넥스,053030,KOSDAQ,12,1999,2026,28
00403793,바이브컴퍼니,301300,KOSDAQ,12,2018,2026,9
00326731,바이오니아,064550,KOSDAQ,12,1999,2026,27
01117413,바이오다인,314930,KOSDAQ,12,2018,2026,9
01657197,바이오비쥬,489460,KOSDAQ,12,2023,2026,4
00560982,바이오솔루션,086820,KOSDAQ,12,2011,2026,16
00240857,바이오스마트,038460,KOSDAQ,12,2000,2026,27
01160974,바이오에프디엔씨,251120,KOSDAQ,12,2019,2026,8
01110058,바이오인프라,199730,KOSDAQ,12,2020,2026,7
00447502,바이오톡스텍,086040,KOSDAQ,12,2005,2026,22
01157846,바이오포트,188040,KOSDAQ,12,2022,2026,5
00636656,바이오플러스,099430,KOSDAQ,12,2016,2026,11
01335790,바이젠셀,308080,KOSDAQ,12,2019,2026,8
00264255,바텍,043150,KOSDAQ,12,2004,2026,23
01335851,박셀바이오,323990,KOSDAQ,12,2018,2026,9
01182240,배럴,267790,KOSDAQ,12,2015,2026,12
01398151,밸로프,331520,KOSDAQ,12,2017,2026,10
01138595,뱅크웨어글로벌,199480,KOSDAQ,12,2022,2026,5
01605529,버넥트,438700,KOSDAQ,12,2021,2026,6
00378220,버킷스튜디오,066410,KOSDAQ,12,2001,2026,26
01435489,범한퓨얼셀,382900,KOSDAQ,12,2020,2026,7
01043853,베노티앤알,206400,KOSDAQ,12,2013,2026,14
00267906,베뉴지,019010,KOSDAQ,12,1999,2026,28
