rcept_no,corp_code,statement,basis,classification,note
20050331000874,00101488,IS,separate,M2,
20050331001258,00101220,CF,separate,M2,
20050331001417,00159971,CF,separate,M2,
20050331001487,00137368,BS,separate,M2,
20050331001780,00149646,BS,separate,M3,대 차 대 조 표제 44 기 2004. 12. 31 현재제 43 기 2003. 12. 31 현재제 42 기 2002. 12. 31 현재(단위 :
20050331001844,00152862,CF,separate,M2,
20050331002332,00299002,IS,separate,M2,
20050331002358,00249982,CF,separate,M2,
20050331002595,00299464,CF,separate,M2,
20050331002595,00299464,IS,separate,M2,
20050401000022,00292434,APPR,separate,M3,이 익 잉 여 금 처 분 계 산 서제 6(당) 기 (2004. 01. 31 부터 2004. 12. 31 까지)제 5(전) 기 (2003. 01.
20050422000024,00242378,CF,separate,M2,
20050429000971,00126089,IS,separate,M2,
20050429001085,00242378,CF,separate,M2,
20050429001411,00238153,CF,separate,M2,
20050430000016,00110884,APPR,separate,M2,
20050511000329,00161462,IS,separate,M2,
20050512000646,00406727,IS,separate,M2,
20050513001474,00126414,CF,separate,M2,
20050513002227,00138516,BS,consolidated,M2,
20050513002281,00164478,APPR,separate,M2,
20050513002535,00111689,CF,separate,M2,
20050513002707,00106623,BS,separate,M2,
20050514000594,00155692,CF,separate,M2,
20050514000594,00155692,IS,separate,M2,
20050516000798,00130383,IS,consolidated,M2,
20050516000952,00173698,IS,separate,M2,
20050516001132,00256380,CF,separate,M2,
20050516001328,00153393,CF,consolidated,M2,
20050516001328,00153393,SCE,consolidated,M2,
20050516001417,00480455,BS,separate,M2,
20050516001417,00480455,CF,separate,M2,
20050516001417,00480455,IS,separate,M2,
20050516001512,00120289,IS,separate,M2,
20050516001587,00149646,BS,separate,M3,대 차 대 조 표제 45 기 분기 2005. 03. 31 현재제 44 기 2004. 12. 31 현재제 43 기 2003. 12. 31 현재(단
20050808000069,00137207,APPR,separate,M2,
20050808000069,00137207,IS,separate,M2,
20050811000251,00161462,IS,separate,M2,
20050811000262,00276834,APPR,separate,M2,
20050812000132,00127167,CF,separate,M2,
20050812000183,00109037,IS,separate,M2,
20050812000400,00265421,CF,separate,M2,
20050812000581,00210740,CF,separate,M2,
20050812000726,00134565,BS,separate,M2,
20050812000753,00260958,CF,separate,M2,
20050812000809,00164478,APPR,separate,M2,
20050812000853,00153393,CF,consolidated,M2,
20050812000853,00153393,SCE,consolidated,M2,
20050812000910,00146542,APPR,separate,file_missing,
20050812000914,00120289,IS,separate,M2,
20050812001026,00163345,BS,separate,M2,
20050812001026,00163345,CF,separate,M2,
20050813000074,00351995,CF,separate,M2,
20050816000026,00217743,CF,separate,M2,
20050816000026,00217743,IS,separate,M2,
20050816000297,00166175,BS,separate,M2,
20050816000459,00155948,IS,separate,M2,
20050816000640,00292434,APPR,separate,M2,
20050816000769,00149804,CF,separate,M2,
20050816001067,00149646,BS,separate,M3,대 차 대 조 표제 45 기 반기 2005. 06. 30 현재제 44 기 2004. 12. 31 현재제 43 기 2003. 12. 31 현재(단
20050830000237,00276834,APPR,separate,M2,
20050920000035,00149646,BS,separate,M3,대 차 대 조 표제 45 기 반기 2005. 06. 30 현재제 44 기 2004. 12. 31 현재제 43 기 2003. 12. 31 현재(단
20051111000151,00161462,IS,separate,M2,
20051111000261,00159795,IS,separate,M2,
20051111000361,00276834,APPR,separate,M2,
20051111000402,00407771,CF,separate,M2,
20051111000526,00125743,CF,separate,M2,
20051114000082,00152589,CF,separate,M2,
20051114000262,00152589,CF,separate,M2,
20051114000310,00264547,IS,separate,M2,
20051114000503,00146649,BS,separate,M2,
20051114000577,00143907,IS,separate,M2,
20051114000990,00166175,BS,separate,M2,
20051114001040,00145464,BS,separate,M2,
20051114001428,00203582,BS,consolidated,M2,
20051114001428,00203582,IS,consolidated,M2,
20051114001465,00164478,APPR,separate,M2,
20051114001540,00223513,IS,separate,M2,
20051114001606,00120289,IS,separate,M2,
20051114001674,00149646,BS,separate,M3,대 차 대 조 표제 45 기 분기 2005. 09. 30 현재제 44 기 2004. 12. 31 현재제 43 기 2003. 12. 31 현재(단
20051129000008,00159795,IS,separate,M2,
20060214000208,00109718,IS,separate,M2,
20060330000136,00263371,APPR,separate,M2,
20060330000136,00263371,BS,separate,M2,
20060330000136,00263371,CF,separate,M2,
20060330000136,00263371,IS,separate,M2,
20060330000507,00101628,CF,separate,M2,
20060330000749,00149804,IS,separate,M2,
20060330001457,00149804,IS,separate,M2,
20060330001653,00292434,APPR,separate,M3,이 익 잉 여 금 처 분 계 산 서제 7(당) 기 (2005. 01. 31 부터 2005. 12. 31 까지)제 6(전) 기 (2004. 01.
20060331001107,00133511,APPR,separate,M2,
20060331001181,00102858,IS,separate,M2,
20060331001279,00108038,IS,consolidated,M2,
20060331002188,00156859,CF,consolidated,M2,
20060508000817,00263371,APPR,separate,M2,
20060508000817,00263371,BS,separate,M2,
20060508000817,00263371,CF,separate,M2,
20060508000817,00263371,IS,separate,M2,
20060511000338,00143314,APPR,separate,M2,
20060512000049,00531014,CF,separate,M2,
20060512001091,00198192,IS,separate,M2,
20060512001099,00173698,CF,separate,M2,
20060512001108,00161462,BS,separate,M2,
20060512001108,00161462,IS,separate,M2,
20060512001257,00201733,CF,separate,M2,
20060512001272,00351995,CF,separate,M2,
20060512002144,00500254,IS,separate,M2,
20060512002291,00159795,IS,separate,M2,
20060512002689,00113207,IS,consolidated,M2,
20060515000113,00162063,BS,separate,M2,
20060515000113,00162063,CF,separate,M2,
20060515000113,00162063,IS,separate,M2,
20060515000215,00133618,CF,separate,M2,
20060515000886,00471068,CF,separate,M2,
